Farm Name,Farmer Name,Farm Limit Used,Phone Number,Farm Size,Farm Location, Technician Name, Date,Status
"DDS Test Farm","dimitra  prod","154","","106.833 Hectares","plot 91, Mutungo Ring Road, Nakawa, Kampala
0.3181710505344465, 32.6445235311985","N/A","09/26/2024","approved"
"Farm A","Farmer  ","1","","0.000 Hectares","Albania 1, Ibagué, Tolima, Colombia","N/A","09/26/2024","approved"
"Chiru New","bisswass  Lammiichhane","26","","0.000 Hectares","MC78+4JC, Katunje, Bhaktapur
27.662649242883518, 85.4166217893362","N/A","09/25/2024","approved"
"Chiru Farm","bisswass  Lammiichhane","26","","0.000 Hectares","MC5G+Q3M, Bhaktapur
27.66002444485963, 85.42489640414715","N/A","09/25/2024","approved"
"activity test","Aashish   Giri","1","","0.000 Hectares","P7HQ+QW2, Raniban Road, Balaju, Kathmandu
27.7294695, 85.2897754","N/A","09/25/2024","approved"
"hajahba","Dhiraj Maan Shah","1","","0.000 Hectares","P7HQ+VWF, Raniban Road, Balaju, Kathmandu
27.7296099, 85.2896815","dimitra prod","09/24/2024","approved"
"haksv","dimitra  prod","154","","0.000 Hectares","P7HQ+VWF, Raniban Road, Balaju, Kathmandu
27.7296058, 85.2896962","N/A","09/24/2024","approved"
"9-24 testing ","9-25  testing","1","","0.000 Hectares","Nagdhunga, Nagdhunga, Kaski
28.2095831, 83.9855674","pre prod test","09/24/2024","approved"
"Test Farm","Aashish   Giri","1","","0.000 Hectares","P7HQ+QW2, Raniban Road, Balaju, Kathmandu
27.7294397, 85.2897536","N/A","09/24/2024","approved"
"fs","Check  ","1","","1.551 Hectares","V2H4+RG6, Kalimoni, Kenya","N/A","09/23/2024","approved"
"checfasdf","Test  ","1","","0.000 Hectares","Q445+RJ Bakhasar, Rajasthan, India","N/A","09/23/2024","approved"
"special farm","damauli test jagadamba","1","","0.334 Hectares","M9CG+M46, Gatthaghar, Bhaktapur
27.6716685, 85.3752864","pre prod test","09/23/2024","approved"
"9-23 farm","9-23 m middle ","1","","0.000 Hectares","Nagdhunga, Nagdhunga, Kaski
28.2095831, 83.9855674","pre prod test","09/23/2024","approved"
"test farm","tstee  ","1","","0.031 Hectares","Mbogo Road, Kampala, Uganda","N/A","09/23/2024","approved"
"qq","qq  ","2","","0.071 Hectares","","N/A","09/20/2024","approved"
"q","q  ","1","","0.000 Hectares","","N/A","09/19/2024","approved"
"1","qqq  ","1","","5.971 Hectares","null","N/A","09/19/2024","approved"
"qq","qq  ","2","","0.071 Hectares","null","N/A","09/19/2024","approved"
"aa","aaa  ","3","","0.071 Hectares","null","N/A","09/19/2024","approved"
"1111","1111  ","1","","34.289 Hectares","","N/A","09/19/2024","approved"
"11","1  ","3","","12.014 Hectares","null","N/A","09/19/2024","approved"
"FA","Producer  ","1","","910560.288 Hectares","null","N/A","09/19/2024","approved"
"Kenya Farm","bisswass  Lammiichhane","26","","1.068 Hectares","Tumbura, Tumbura, 
-0.023559, 37.906193","N/A","09/19/2024","approved"
"prood","i  am","1","","2865.227 Hectares","","N/A","09/18/2024","approved"
"11","1  ","3","","0.071 Hectares","","N/A","09/18/2024","approved"
"Haris AFG","Hari  ","2","","0.007 Hectares","Afghanistan, Parañaque, 1709 Metro Manila, Philippines","N/A","09/18/2024","approved"
